,H1,H4,GS
results/gpt2_epoch_100,1.7675062322461763,2.353954164110581,0.8735026041666666
results/gpt2_epoch_150,1.870771140505682,2.4168941189994437,0.853578629032258
results/gpt2_epoch_200,1.9032169982184517,2.4451305051665586,0.848109879032258
results/transformer_xl_epoch_100,1.9104010888542209,2.455216038970046,0.864812247983871
results/transformer_xl_epoch_150,1.857520872476951,2.436882847198326,0.8632749495967742
results/transformer_xl_epoch_200,1.9028838295377235,2.373352160419651,0.8408392137096776
results/cpword_50,1.5063021535227343,1.964023882109385,0.729240880151962
results/cpword_36,1.8243242074259445,2.3806656132400583,0.8739365498702261
results/cpword_30,1.8905298490584552,2.414698293666985,0.7899478918374914
results/compose_embellish/stage2,2.014174421718166,2.488192969249893,0.7910608720337412
